game_id,home_team,away_team,is_neutral,game_time,tv_network,home_team_rating,away_team_rating,home_team_spread,home_team_wp,away_team_wp,home_team_spread_display
401856427,UNC Wilmington,Campbell,True,09:00 AM PDT,,8.57,-2.27,-7.4,76.91,23.09,UNC Wilmington -7.4
401851547,Lehigh,Colgate,False,09:00 AM PDT,CBSSN,-9.67,-3.04,1.6,43.64,56.36,Lehigh +1.6
401851494,UIC,Northern Iowa,True,09:00 AM PDT,CBS,6.57,10.86,2.9,38.54,61.46,UIC +2.9
401851353,High Point,Winthrop,True,09:00 AM PDT,ESPN2,11.98,4.25,-5.2,70.02,29.98,High Point -5.2
401825570,Rutgers,Penn State,False,09:00 AM PDT,BTN,-0.46,1.69,-1.4,55.73,44.27,Rutgers -1.4
401851548,Navy,Boston University,False,11:00 AM PDT,CBSSN,4.83,-5.63,-10.0,84.14,15.86,Navy -10.0
401851251,Central Arkansas,Queens University,True,11:00 AM PDT,ESPN2,1.6,-1.0,-1.8,57.01,42.99,Central Arkansas -1.8
401828264,Tulane,Memphis,False,11:00 AM PDT,ESPN+,-4.48,2.23,1.7,43.42,56.58,Tulane +1.7
401828263,South Florida,Charlotte,False,11:00 AM PDT,ESPN+,14.71,-0.45,-13.2,90.65,9.35,South Florida -13.2
401856428,Monmouth,Drexel,True,11:30 AM PDT,,0.26,-2.83,-2.1,58.31,41.69,Monmouth -2.1
401825567,Maryland,Illinois,False,12:00 PM PDT,FOX,-1.5,30.12,18.6,3.17,96.83,Maryland +18.6
401828266,Tulsa,Temple,False,12:00 PM PDT,ESPN+,15.74,0.82,-13.0,90.37,9.63,Tulsa -13.0
401828265,Rice,UTSA,False,12:00 PM PDT,ESPN+,-6.38,-19.15,-11.6,87.64,12.36,Rice -11.6
401828262,UAB,East Carolina,False,12:00 PM PDT,ESPN+,4.92,-8.03,-11.7,87.89,12.11,UAB -11.7
401851431,Green Bay,Northern Kentucky,True,12:30 PM PDT,ESPN+,-3.12,-0.35,1.9,42.54,57.46,Green Bay +1.9
401851589,East Tennessee State,Western Carolina,True,01:00 PM PDT,ESPNU,5.24,-3.72,-6.1,72.85,27.15,East Tennessee State -6.1
401825568,Michigan,Michigan State,False,01:30 PM PDT,CBS,35.15,25.09,-9.7,83.47,16.53,Michigan -9.7
401825569,Nebraska,Iowa,False,02:00 PM PDT,FOX,23.8,20.64,-5.0,69.31,30.69,Nebraska -5.0
401856429,Charleston,Towson,True,03:00 PM PDT,,1.67,-0.09,-1.2,54.76,45.24,Charleston -1.2
401851704,Troy,Southern Miss,True,03:00 PM PDT,ESPN+,3.01,-3.5,-4.4,67.08,32.92,Troy -4.4
401851602,New Orleans,Houston Christian,True,03:00 PM PDT,ESPN+,-3.7,-9.96,-4.3,66.46,33.54,New Orleans -4.3
401851465,Merrimack,Marist,True,03:00 PM PDT,ESPN+,-0.31,0.57,0.6,47.62,52.38,Merrimack +0.6
401851591,Furman,UNC Greensboro,True,03:30 PM PDT,ESPNU,-0.67,-9.85,-6.2,73.35,26.65,Furman -6.2
401851329,Portland State,Idaho State,True,04:30 PM PDT,ESPN+,2.3,-4.44,-4.6,67.64,32.36,Portland State -4.6
401856430,Hofstra,William & Mary,True,05:30 PM PDT,,8.74,5.2,-2.4,59.5,40.5,Hofstra -2.4
401851756,Oregon State,San Francisco,True,05:30 PM PDT,ESPN2,-2.02,3.75,3.9,34.76,65.24,Oregon State +3.9
401851705,Marshall,Georgia Southern,True,05:30 PM PDT,ESPN+,0.44,-3.7,-2.8,61.07,38.93,Marshall -2.8
401851604,Nicholls,Northwestern State,True,05:30 PM PDT,ESPN+,-6.53,-10.49,-2.7,60.6,39.4,Nicholls -2.7
401851466,Siena,Fairfield,True,05:30 PM PDT,ESPN+,-0.2,-4.77,-3.1,62.18,37.82,Siena -3.1
401851629,North Dakota State,North Dakota,True,06:00 PM PDT,CBSSN,5.8,-9.19,-10.2,84.56,15.44,North Dakota State -10.2
401851331,Montana State,Idaho,True,07:00 PM PDT,ESPN+,4.18,1.46,-1.8,57.33,42.67,Montana State -1.8
401851757,Santa Clara,Pacific,True,08:00 PM PDT,ESPN2,15.21,4.46,-7.3,76.73,23.27,Santa Clara -7.3
